File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF319BFL	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR414IGI	total RNA-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens	DMSO	1 μM	4 hour								RNA		Qiagen RNA extraction			reverse	2022-07-14	ENCODE			200-300	3	3_1							/files/GRCh38_EBV.chrom.sizes/, /files/ENCFF160NVZ/	128435399	ENCODE Processing Pipeline	6f877ab91a0553bf33355441cc9c5206		https://www.encodeproject.org/files/ENCFF319BFL/@@download/ENCFF319BFL.bigWig	V29			released	s3://encode-public/2022/05/12/250833ea-493b-41c6-af60-ac0b206d8eb9/ENCFF319BFL.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/05/12/250833ea-493b-41c6-af60-ac0b206d8eb9/ENCFF319BFL.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released	low read depth		
ENCFF024DUU	tsv	tsv		gene quantifications	GRCh38	ENCSR414IGI	total RNA-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens	DMSO	1 μM	4 hour								RNA		Qiagen RNA extraction			reverse	2022-07-14	ENCODE			200-300	3	3_1							/files/ENCFF510FKG/, /files/ENCFF285DRD/	10968868	ENCODE Processing Pipeline	8c1a7eb967d583abd62b826a09df8eb7		https://www.encodeproject.org/files/ENCFF024DUU/@@download/ENCFF024DUU.tsv	V29			released	s3://encode-public/2022/05/12/8140790c-9de9-4f7c-b063-4dacc328915c/ENCFF024DUU.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/05/12/8140790c-9de9-4f7c-b063-4dacc328915c/ENCFF024DUU.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released	low read depth		
ENCFF373YQC	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR920OZR	total RNA-seq	/human-donors/ENCDO607PIC/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-06-03	ENCODE				1	1_1							/files/GRCh38_EBV.chrom.sizes/, /files/ENCFF483QGF/	114123334	ENCODE Processing Pipeline	1c03b88be3394dee4ba8a771df0d1b38		https://www.encodeproject.org/files/ENCFF373YQC/@@download/ENCFF373YQC.bigWig	V29			released	s3://encode-public/2022/05/13/5ba03ad9-ef3e-4d75-9076-b8e86becdf01/ENCFF373YQC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/05/13/5ba03ad9-ef3e-4d75-9076-b8e86becdf01/ENCFF373YQC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF324FQI	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR920OZR	total RNA-seq	/human-donors/ENCDO607PIC/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-06-03	ENCODE				1	1_1							/files/GRCh38_EBV.chrom.sizes/, /files/ENCFF483QGF/	115996362	ENCODE Processing Pipeline	b08f2765458e3e306c62061f8ff8a713		https://www.encodeproject.org/files/ENCFF324FQI/@@download/ENCFF324FQI.bigWig	V29			released	s3://encode-public/2022/05/13/4e8db419-c730-4961-9995-5340dd3e266c/ENCFF324FQI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/05/13/4e8db419-c730-4961-9995-5340dd3e266c/ENCFF324FQI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF770BLB	tsv	tsv		gene quantifications	GRCh38	ENCSR920OZR	total RNA-seq	/human-donors/ENCDO607PIC/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-06-03	ENCODE				1	1_1							/files/ENCFF815WKT/, /files/ENCFF285DRD/	10995497	ENCODE Processing Pipeline	69d42c5488701d163817c60531dcec4f		https://www.encodeproject.org/files/ENCFF770BLB/@@download/ENCFF770BLB.tsv	V29			released	s3://encode-public/2022/05/13/875e7d1a-e112-4e8f-a1e8-7eba26e56d59/ENCFF770BLB.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/05/13/875e7d1a-e112-4e8f-a1e8-7eba26e56d59/ENCFF770BLB.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF585QCN	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR296RWI	total RNA-seq	/human-donors/ENCDO830KFO/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-06-03	ENCODE				1	1_1							/files/ENCFF528WWI/, /files/GRCh38_EBV.chrom.sizes/	143796107	ENCODE Processing Pipeline	997f4ecaa84ee8dd3d199781eec72ff5		https://www.encodeproject.org/files/ENCFF585QCN/@@download/ENCFF585QCN.bigWig	V29			released	s3://encode-public/2022/05/13/2706261e-aaa0-4129-bdd1-fa1b8280b541/ENCFF585QCN.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/05/13/2706261e-aaa0-4129-bdd1-fa1b8280b541/ENCFF585QCN.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF190RSI	tsv	tsv		gene quantifications	GRCh38	ENCSR296RWI	total RNA-seq	/human-donors/ENCDO830KFO/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-06-03	ENCODE				1	1_1							/files/ENCFF239MKT/, /files/ENCFF285DRD/	11001445	ENCODE Processing Pipeline	3681e1e773b5d65454e9fd83223d8288		https://www.encodeproject.org/files/ENCFF190RSI/@@download/ENCFF190RSI.tsv	V29			released	s3://encode-public/2022/05/13/0e891598-53e5-49d8-ab9a-0a690600ee02/ENCFF190RSI.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/05/13/0e891598-53e5-49d8-ab9a-0a690600ee02/ENCFF190RSI.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF510OPM	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR296RWI	total RNA-seq	/human-donors/ENCDO830KFO/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-06-03	ENCODE				1	1_1							/files/ENCFF528WWI/, /files/GRCh38_EBV.chrom.sizes/	138479628	ENCODE Processing Pipeline	0186b0f4b5933c6bd066ccc2d2c8cee9		https://www.encodeproject.org/files/ENCFF510OPM/@@download/ENCFF510OPM.bigWig	V29			released	s3://encode-public/2022/05/13/bdccb00c-3282-46ea-b1f8-a54357058cb3/ENCFF510OPM.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/05/13/bdccb00c-3282-46ea-b1f8-a54357058cb3/ENCFF510OPM.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF619JUZ	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR530OOO	total RNA-seq	/human-donors/ENCDO228WQW/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-06-03	ENCODE				1	1_1							/files/GRCh38_EBV.chrom.sizes/, /files/ENCFF028CDN/	166729234	ENCODE Processing Pipeline	699232c864be8b01d059e5ff5e0f2099		https://www.encodeproject.org/files/ENCFF619JUZ/@@download/ENCFF619JUZ.bigWig	V29			released	s3://encode-public/2022/05/13/4a7ec25b-f4a5-4d90-9e26-3619e1913ffd/ENCFF619JUZ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/05/13/4a7ec25b-f4a5-4d90-9e26-3619e1913ffd/ENCFF619JUZ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF787TLF	tsv	tsv		gene quantifications	GRCh38	ENCSR530OOO	total RNA-seq	/human-donors/ENCDO228WQW/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-06-03	ENCODE				1	1_1							/files/ENCFF285DRD/, /files/ENCFF475FHI/	11005340	ENCODE Processing Pipeline	f06f41b87f2f91fbeb7a98d0ec508d3e		https://www.encodeproject.org/files/ENCFF787TLF/@@download/ENCFF787TLF.tsv	V29			released	s3://encode-public/2022/05/13/88cbf297-14d0-4426-904b-64348846d2a2/ENCFF787TLF.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/05/13/88cbf297-14d0-4426-904b-64348846d2a2/ENCFF787TLF.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF401ALX	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR530OOO	total RNA-seq	/human-donors/ENCDO228WQW/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-06-03	ENCODE				1	1_1							/files/GRCh38_EBV.chrom.sizes/, /files/ENCFF028CDN/	171525641	ENCODE Processing Pipeline	5c4da57d7ef3db763699dc1aa0043667		https://www.encodeproject.org/files/ENCFF401ALX/@@download/ENCFF401ALX.bigWig	V29			released	s3://encode-public/2022/05/13/09867518-163f-4534-b235-bcd18737f03b/ENCFF401ALX.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/05/13/09867518-163f-4534-b235-bcd18737f03b/ENCFF401ALX.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF553KIL	tsv	tsv		gene quantifications	GRCh38	ENCSR743TJZ	total RNA-seq	/human-donors/ENCDO374BBL/	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens	Interleukin-4 antibody, Interleukin-12 subunit alpha, Interleukin-12 subunit beta	1 ng/mL, 30 ng/mL	36 hour								RNA					reverse	2022-12-06	ENCODE				1	1_1							/files/ENCFF285DRD/, /files/ENCFF070CXQ/	11048676	ENCODE Processing Pipeline	bbdc2accd2499aa9f7b745478d9f312f		https://www.encodeproject.org/files/ENCFF553KIL/@@download/ENCFF553KIL.tsv	V29			released	s3://encode-public/2022/07/09/78bdc4a0-9aea-4e36-9873-dd2c03af7d89/ENCFF553KIL.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/07/09/78bdc4a0-9aea-4e36-9873-dd2c03af7d89/ENCFF553KIL.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF988OAV	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR743TJZ	total RNA-seq	/human-donors/ENCDO374BBL/	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens	Interleukin-4 antibody, Interleukin-12 subunit alpha, Interleukin-12 subunit beta	1 ng/mL, 30 ng/mL	36 hour								RNA					reverse	2022-12-06	ENCODE				1	1_1							/files/ENCFF854JSL/, /files/GRCh38_EBV.chrom.sizes/	136077134	ENCODE Processing Pipeline	fd965a52b90e767b9e7d88f7152c892e		https://www.encodeproject.org/files/ENCFF988OAV/@@download/ENCFF988OAV.bigWig	V29			released	s3://encode-public/2022/07/09/f3ec8065-aa5f-4658-8328-46bdc593ce1e/ENCFF988OAV.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/07/09/f3ec8065-aa5f-4658-8328-46bdc593ce1e/ENCFF988OAV.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF830RPO	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR743TJZ	total RNA-seq	/human-donors/ENCDO374BBL/	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens	Interleukin-4 antibody, Interleukin-12 subunit alpha, Interleukin-12 subunit beta	1 ng/mL, 30 ng/mL	36 hour								RNA					reverse	2022-12-06	ENCODE				1	1_1							/files/ENCFF854JSL/, /files/GRCh38_EBV.chrom.sizes/	130934308	ENCODE Processing Pipeline	c08281269d6f0d1ff8ec573bdf5c9be0		https://www.encodeproject.org/files/ENCFF830RPO/@@download/ENCFF830RPO.bigWig	V29			released	s3://encode-public/2022/07/09/5fe1ac08-3be0-4ab8-bb2f-dcdd026fdb91/ENCFF830RPO.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/07/09/5fe1ac08-3be0-4ab8-bb2f-dcdd026fdb91/ENCFF830RPO.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF805LCX	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR831GLL	total RNA-seq	/human-donors/ENCDO641WTL/	CL:0000899	T-helper 17 cell	primary cell	Homo sapiens											RNA					reverse	2022-07-01	ENCODE				1	1_1							/files/ENCFF324ENF/, /files/GRCh38_EBV.chrom.sizes/	135662606	ENCODE Processing Pipeline	54acffe86b974469c966793f3ee40f84		https://www.encodeproject.org/files/ENCFF805LCX/@@download/ENCFF805LCX.bigWig	V29			released	s3://encode-public/2022/06/24/3779e16a-4475-42dc-b506-65792605bcfd/ENCFF805LCX.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/06/24/3779e16a-4475-42dc-b506-65792605bcfd/ENCFF805LCX.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF915OXI	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR831GLL	total RNA-seq	/human-donors/ENCDO641WTL/	CL:0000899	T-helper 17 cell	primary cell	Homo sapiens											RNA					reverse	2022-07-01	ENCODE				1	1_1							/files/ENCFF324ENF/, /files/GRCh38_EBV.chrom.sizes/	131378856	ENCODE Processing Pipeline	05087e4237ab2b2c5c2ff9fc6d9673b8		https://www.encodeproject.org/files/ENCFF915OXI/@@download/ENCFF915OXI.bigWig	V29			released	s3://encode-public/2022/06/24/a796b37e-e148-4ac4-8369-56de337a6cba/ENCFF915OXI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/06/24/a796b37e-e148-4ac4-8369-56de337a6cba/ENCFF915OXI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF659ZXN	tsv	tsv		gene quantifications	GRCh38	ENCSR831GLL	total RNA-seq	/human-donors/ENCDO641WTL/	CL:0000899	T-helper 17 cell	primary cell	Homo sapiens											RNA					reverse	2022-07-01	ENCODE				1	1_1							/files/ENCFF285DRD/, /files/ENCFF915QMN/	11026025	ENCODE Processing Pipeline	a34437ca4e36f224fd28d3cb8f48567e		https://www.encodeproject.org/files/ENCFF659ZXN/@@download/ENCFF659ZXN.tsv	V29			released	s3://encode-public/2022/06/24/6d1b7bfe-0793-440b-8ec4-9e24a6329628/ENCFF659ZXN.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/06/24/6d1b7bfe-0793-440b-8ec4-9e24a6329628/ENCFF659ZXN.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
