File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF446MYT	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR086MHH	total RNA-seq	/mouse-donors/ENCDO996MUL/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2022-02-23	ENCODE				1	1_1							/files/ENCFF517JON/, /files/mm10_no_alt.chrom.sizes/	46809381	ENCODE Processing Pipeline	a861e8c38542b8400c5bb30caa0bb957		https://www.encodeproject.org/files/ENCFF446MYT/@@download/ENCFF446MYT.bigWig	M21			released	s3://encode-public/2022/02/10/242f1f8b-fd2f-4c23-826c-51c44dd366a8/ENCFF446MYT.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/02/10/242f1f8b-fd2f-4c23-826c-51c44dd366a8/ENCFF446MYT.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released			
ENCFF623LLW	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR086MHH	total RNA-seq	/mouse-donors/ENCDO996MUL/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2022-02-23	ENCODE				1	1_1							/files/ENCFF517JON/, /files/mm10_no_alt.chrom.sizes/	47341670	ENCODE Processing Pipeline	b5069760be036cc6e873c656a4954e26		https://www.encodeproject.org/files/ENCFF623LLW/@@download/ENCFF623LLW.bigWig	M21			released	s3://encode-public/2022/02/10/c6572d58-79c0-4e66-a33e-2346e2ce514c/ENCFF623LLW.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/02/10/c6572d58-79c0-4e66-a33e-2346e2ce514c/ENCFF623LLW.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released			
ENCFF990UQO	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR809JHL	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2021-06-17	ENCODE				1	1_1							/files/ENCFF058OVM/, /files/mm10_no_alt.chrom.sizes/	63980659	ENCODE Processing Pipeline	5ffa170ef7ff79ea7823e8f239592c16		https://www.encodeproject.org/files/ENCFF990UQO/@@download/ENCFF990UQO.bigWig	M21			released	s3://encode-public/2021/05/24/5b3b07bc-5e2f-4acd-894f-425efe8938db/ENCFF990UQO.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/5b3b07bc-5e2f-4acd-894f-425efe8938db/ENCFF990UQO.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF365VIK	tsv	tsv		gene quantifications	mm10	ENCSR809JHL	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2021-06-17	ENCODE				1	1_1							/files/ENCFF363TFV/, /files/ENCFF422EUR/	11895205	ENCODE Processing Pipeline	defc1e13b27889a931f34ed160113073		https://www.encodeproject.org/files/ENCFF365VIK/@@download/ENCFF365VIK.tsv	M21			released	s3://encode-public/2021/05/24/f8424332-c3f0-47cf-961c-1f2d0d291737/ENCFF365VIK.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/f8424332-c3f0-47cf-961c-1f2d0d291737/ENCFF365VIK.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF075FNE	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR809JHL	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2021-06-17	ENCODE				1	1_1							/files/ENCFF058OVM/, /files/mm10_no_alt.chrom.sizes/	64877552	ENCODE Processing Pipeline	875b3c78beca3be2793b948fe2a05490		https://www.encodeproject.org/files/ENCFF075FNE/@@download/ENCFF075FNE.bigWig	M21			released	s3://encode-public/2021/05/24/b0ce2f6b-9f37-47be-99e0-a13d99db1429/ENCFF075FNE.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/b0ce2f6b-9f37-47be-99e0-a13d99db1429/ENCFF075FNE.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF541YUK	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR095VGF	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2021-06-17	ENCODE				2	2_1							/files/mm10_no_alt.chrom.sizes/, /files/ENCFF225UCF/	58372421	ENCODE Processing Pipeline	d2f49bf2f2b4629aed8b27b6c21d292b		https://www.encodeproject.org/files/ENCFF541YUK/@@download/ENCFF541YUK.bigWig	M21			released	s3://encode-public/2021/05/24/380b03df-48d3-472b-adb6-85eb37a491fd/ENCFF541YUK.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/380b03df-48d3-472b-adb6-85eb37a491fd/ENCFF541YUK.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF043CZW	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR095VGF	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2021-06-17	ENCODE				2	2_1							/files/mm10_no_alt.chrom.sizes/, /files/ENCFF225UCF/	59759323	ENCODE Processing Pipeline	98ad835ebaabf01774bf55962e9d3af2		https://www.encodeproject.org/files/ENCFF043CZW/@@download/ENCFF043CZW.bigWig	M21			released	s3://encode-public/2021/05/24/c6e66d7c-4f97-4a80-b246-8256b8112808/ENCFF043CZW.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/c6e66d7c-4f97-4a80-b246-8256b8112808/ENCFF043CZW.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF117PAU	tsv	tsv		gene quantifications	mm10	ENCSR095VGF	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2021-06-17	ENCODE				2	2_1							/files/ENCFF816AOV/, /files/ENCFF363TFV/	11898975	ENCODE Processing Pipeline	b49e20b5a92e2886aad34aeabeeaa538		https://www.encodeproject.org/files/ENCFF117PAU/@@download/ENCFF117PAU.tsv	M21			released	s3://encode-public/2021/05/24/b6f4b6ba-5cf5-4067-af30-c7c8936e2bfc/ENCFF117PAU.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/b6f4b6ba-5cf5-4067-af30-c7c8936e2bfc/ENCFF117PAU.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF947UNC	tsv	tsv		gene quantifications	mm10	ENCSR502ORP	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2021-06-17	ENCODE				2	2_1							/files/ENCFF363TFV/, /files/ENCFF762KLN/	11896115	ENCODE Processing Pipeline	1db91d4f3b305a5c9d348190e50d4345		https://www.encodeproject.org/files/ENCFF947UNC/@@download/ENCFF947UNC.tsv	M21			released	s3://encode-public/2021/05/24/b4b32d87-f18d-4b93-92a3-1c93c3e67718/ENCFF947UNC.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/b4b32d87-f18d-4b93-92a3-1c93c3e67718/ENCFF947UNC.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF606YDJ	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR502ORP	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2021-06-17	ENCODE				2	2_1							/files/ENCFF791GIJ/, /files/mm10_no_alt.chrom.sizes/	57176834	ENCODE Processing Pipeline	17497bdf97576e4de70bc95f9db68225		https://www.encodeproject.org/files/ENCFF606YDJ/@@download/ENCFF606YDJ.bigWig	M21			released	s3://encode-public/2021/05/24/4f6841aa-fe5e-4fff-b336-63dde187ea08/ENCFF606YDJ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/4f6841aa-fe5e-4fff-b336-63dde187ea08/ENCFF606YDJ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF988ZSP	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR502ORP	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2021-06-17	ENCODE				2	2_1							/files/ENCFF791GIJ/, /files/mm10_no_alt.chrom.sizes/	56405448	ENCODE Processing Pipeline	05db38e3949df4ce6539d8819b659c87		https://www.encodeproject.org/files/ENCFF988ZSP/@@download/ENCFF988ZSP.bigWig	M21			released	s3://encode-public/2021/05/24/2953f5b9-a7e6-4221-b106-869dec3af9b7/ENCFF988ZSP.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/2953f5b9-a7e6-4221-b106-869dec3af9b7/ENCFF988ZSP.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF415TAW	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR133LMN	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2021-06-17	ENCODE				1	1_1							/files/mm10_no_alt.chrom.sizes/, /files/ENCFF904LTP/	68447444	ENCODE Processing Pipeline	4dd299959391a5e0aa4ce8b5960e0a7c		https://www.encodeproject.org/files/ENCFF415TAW/@@download/ENCFF415TAW.bigWig	M21			released	s3://encode-public/2021/05/24/a5e1cadb-f159-4e77-98f7-31a6c4504508/ENCFF415TAW.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/a5e1cadb-f159-4e77-98f7-31a6c4504508/ENCFF415TAW.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF920EUL	tsv	tsv		gene quantifications	mm10	ENCSR133LMN	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2021-06-17	ENCODE				1	1_1							/files/ENCFF363TFV/, /files/ENCFF390JAP/	11890077	ENCODE Processing Pipeline	76badea3ad3d539664edcfa357f11969		https://www.encodeproject.org/files/ENCFF920EUL/@@download/ENCFF920EUL.tsv	M21			released	s3://encode-public/2021/05/24/912b5011-bddf-41d4-98c3-1eac6f5fd74c/ENCFF920EUL.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/912b5011-bddf-41d4-98c3-1eac6f5fd74c/ENCFF920EUL.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF370IQE	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR133LMN	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2021-06-17	ENCODE				1	1_1							/files/mm10_no_alt.chrom.sizes/, /files/ENCFF904LTP/	70126360	ENCODE Processing Pipeline	4b85c86ea3bb637a7f72d2b435f0b63b		https://www.encodeproject.org/files/ENCFF370IQE/@@download/ENCFF370IQE.bigWig	M21			released	s3://encode-public/2021/05/24/4fa75b2f-207e-43dd-aafd-1dbb6ecd75ef/ENCFF370IQE.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/4fa75b2f-207e-43dd-aafd-1dbb6ecd75ef/ENCFF370IQE.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF986NFA	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR465PBJ	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	tissue	Mus musculus											RNA					reverse	2021-08-18	ENCODE				2	2_1							/files/mm10_no_alt.chrom.sizes/, /files/ENCFF480SEG/	60762583	ENCODE Processing Pipeline	e1146fc4c049eda6453f39e0a3b6784a		https://www.encodeproject.org/files/ENCFF986NFA/@@download/ENCFF986NFA.bigWig	M21			released	s3://encode-public/2021/07/21/73623301-5afc-46dc-9782-452c0925ee88/ENCFF986NFA.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/73623301-5afc-46dc-9782-452c0925ee88/ENCFF986NFA.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF658ONP	tsv	tsv		gene quantifications	mm10	ENCSR465PBJ	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	tissue	Mus musculus											RNA					reverse	2021-08-18	ENCODE				2	2_1							/files/ENCFF683KCO/, /files/ENCFF363TFV/	11888490	ENCODE Processing Pipeline	633291cc13b5c724a0e09e1aa041c8bd		https://www.encodeproject.org/files/ENCFF658ONP/@@download/ENCFF658ONP.tsv	M21			released	s3://encode-public/2021/07/21/4ea8d95c-d11a-46ad-95e0-60b2d5a17e1f/ENCFF658ONP.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/4ea8d95c-d11a-46ad-95e0-60b2d5a17e1f/ENCFF658ONP.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF967XMU	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR465PBJ	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	tissue	Mus musculus											RNA					reverse	2021-08-18	ENCODE				2	2_1							/files/mm10_no_alt.chrom.sizes/, /files/ENCFF480SEG/	59825071	ENCODE Processing Pipeline	cbc81ee04fa28855cfcadc35fd97d150		https://www.encodeproject.org/files/ENCFF967XMU/@@download/ENCFF967XMU.bigWig	M21			released	s3://encode-public/2021/07/21/04a58ae3-35a7-4883-9af9-6123fe8b796d/ENCFF967XMU.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/04a58ae3-35a7-4883-9af9-6123fe8b796d/ENCFF967XMU.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF907JEV	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR000CWC	total RNA-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus											RNA	rRNA				reverse	2012-06-25	ENCODE		see document	300-350	2	2_1							/files/mm10_no_alt.chrom.sizes/, /files/ENCFF580PJE/	232042242	ENCODE Processing Pipeline	64265f80ee04710b7c3299a0de11ab51		https://www.encodeproject.org/files/ENCFF907JEV/@@download/ENCFF907JEV.bigWig	M21			released	s3://encode-public/2021/04/17/2d5b3e2d-08bd-4e3c-90cb-5f69ee7f1fa9/ENCFF907JEV.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/04/17/2d5b3e2d-08bd-4e3c-90cb-5f69ee7f1fa9/ENCFF907JEV.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
